clsid,clsdesc,CLSAUTHOR,clsstartdate,clsversion,clsclasses
clsid9391,Codes for Juvenile Justice (Youth Aids) services,Caleb1,6/4/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\statements\UseStatement.java
clsid9392,Codes related to County and Tribe Child Care services,Caleb1,5/5/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\Term.java
clsid9393,Codes related to County and Tribe Child Care services,Caleb1,4/5/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\Terms.java
clsid9394,Codes related to County and Tribe Child Care services,Caleb19,3/6/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\TokenRelation.java
clsid9395,Codes for child support services,Caleb2,2/5/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\Tuples.java
clsid9396,Codes for child support services,Caleb2,1/6/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\TypeCast.java
clsid9397,Codes related to State County Contract  for Human or Social  Services contracts,Caleb1,12/7/2015,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\UntypedResultSet.java
clsid9398,Codes related to County and Tribe Child Care services,Caleb1,11/7/2015,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\UpdateParameters.java
clsid9399,Used for the majority of grant programs processed in CORe,Caleb42,10/8/2015,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\UserTypes.java
clsid9400,Codes for Juvenile Justice (Youth Aids) services,Caleb2,9/8/2015,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\UTName.java
clsid9401,Codes related to State County Contract  for Human or Social  Services contracts,Caleb11,6/4/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\cql3\VariableSpecifications.java
clsid9402,Codes related to County and Tribe Child Care services,Caleb2,5/5/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\AbstractCell.java
clsid9403,Codes for child support services,Caleb1,4/5/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\AbstractNativeCell.java
clsid9404,Codes for Juvenile Justice (Youth Aids) services,Caleb2,3/6/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\AbstractRangeCommand.java
clsid9405,Used for the majority of grant programs processed in CORe,Caleb1,2/5/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\ArrayBackedSortedColumns.java
clsid9406,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb1,1/6/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\AtomDeserializer.java
clsid9407,Codes related to County and Tribe Child Care services,Caleb1,12/7/2015,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\AtomicBTreeColumns.java
clsid9408,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb19,11/7/2015,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\BatchlogManager.java
clsid9409,Codes for Juvenile Justice (Youth Aids) services,Caleb2,10/8/2015,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\BatchlogManagerMBean.java
clsid9410,Codes related to County and Tribe Child Care services,Caleb25,9/8/2015,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\BlacklistedDirectories.java
clsid9411,Codes related to County and Tribe Child Care services,Caleb1,6/4/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\BlacklistedDirectoriesMBean.java
clsid9412,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,5/5/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\BufferCell.java
clsid9413,Used for the majority of grant programs processed in CORe,Caleb2,4/5/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\BufferCounterCell.java
clsid9414,Codes for Juvenile Justice (Youth Aids) services,Caleb1,3/6/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\BufferCounterUpdateCell.java
clsid9415,Codes related to County and Tribe Child Care services,Caleb1,2/5/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\BufferDecoratedKey.java
clsid9416,Codes related to other Child Care services,Caleb1,1/6/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\BufferDeletedCell.java
clsid9417,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb2,12/7/2015,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\BufferExpiringCell.java
clsid9418,Codes related to other Child Care services,Caleb1,11/7/2015,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\CachedHashDecoratedKey.java
clsid9419,Codes for child support services,Caleb1,10/8/2015,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\Cell.java
clsid9420,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,9/8/2015,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\CFRowAdder.java
clsid9421,Codes related to County and Tribe Child Care services,Caleb1,6/4/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\ClockAndCount.java
clsid9422,Codes related to County and Tribe Child Care services,Caleb1,5/5/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\CollationController.java
clsid9423,Codes related to other Child Care services,Caleb1,4/5/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\ColumnFamily.java
clsid9424,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,3/6/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\ColumnFamilySerializer.java
clsid9425,Codes related to County and Tribe Child Care services,Caleb37,2/5/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\ColumnFamilyStore.java
clsid9426,Codes related to other Child Care services,Caleb8,1/6/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\ColumnFamilyStoreMBean.java
clsid9427,Codes related to County and Tribe Child Care services,Caleb2,12/7/2015,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\ColumnFamilyType.java
clsid9428,Codes for child support services,Caleb2,11/7/2015,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\ColumnIndex.java
clsid9429,Codes related to County and Tribe Child Care services,Caleb38,10/8/2015,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\columniterator\IColumnIteratorFactory.java
clsid9430,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb3,9/8/2015,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\columniterator\IdentityQueryFilter.java
clsid9431,Codes related to County and Tribe Child Care services,Caleb1,6/4/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\columniterator\LazyColumnIterator.java
clsid9432,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,5/5/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\columniterator\OnDiskAtomIterator.java
clsid9433,Codes for Juvenile Justice (Youth Aids) services,Caleb2,4/5/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\ColumnSerializer.java
clsid9434,Codes related to County and Tribe Child Care services,Caleb1,3/6/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\commitlog\AbstractCommitLogService.java
clsid9435,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,2/5/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\commitlog\BatchCommitLogService.java
clsid9436,Codes for Juvenile Justice (Youth Aids) services,Caleb19,1/6/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\commitlog\CommitLog.java
clsid9437,Codes related to other Child Care services,Caleb1,12/7/2015,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\commitlog\CommitLogArchiver.java
clsid9438,Codes for Juvenile Justice (Youth Aids) services,Caleb24,11/7/2015,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\commitlog\CommitLogDescriptor.java
clsid9439,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,10/8/2015,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\commitlog\CommitLogMBean.java
clsid9440,Codes related to other Child Care services,Caleb1,9/8/2015,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\commitlog\CommitLogReplayer.java
clsid9441,Codes related to County and Tribe Child Care services,Caleb9,6/4/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\commitlog\CommitLogSegment.java
clsid9442,Codes related to County and Tribe Child Care services,Caleb12,5/5/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\commitlog\CommitLogSegmentManager.java
clsid9443,Used for the majority of grant programs processed in CORe,Caleb12,4/5/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\commitlog\CompressedSegment.java
clsid9444,Codes for child support services,Caleb1,3/6/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\commitlog\MemoryMappedSegment.java
clsid9445,Codes for child support services,Caleb2,2/5/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\commitlog\PeriodicCommitLogService.java
clsid9446,Codes for Juvenile Justice (Youth Aids) services,Caleb1,1/6/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\commitlog\ReplayPosition.java
clsid9447,Codes related to State County Contract  for Human or Social  Services contracts,Caleb13,12/7/2015,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\AbstractCompactedRow.java
clsid9448,Codes for child support services,Caleb1,11/7/2015,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\AbstractCompactionIterable.java
clsid9449,Codes related to County and Tribe Child Care services,Caleb2,10/8/2015,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\AbstractCompactionStrategy.java
clsid9450,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb1,9/8/2015,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\AbstractCompactionTask.java
clsid9451,Codes related to other Child Care services,Caleb5,6/4/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\CompactionController.java
clsid9452,Codes for Juvenile Justice (Youth Aids) services,Caleb2,5/5/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\CompactionHistoryTabularData.java
clsid9453,Codes for Juvenile Justice (Youth Aids) services,Caleb2,4/5/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\CompactionInfo.java
clsid9454,Codes related to State County Contract  for Human or Social  Services contracts,Caleb1,3/6/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\CompactionInterruptedException.java
clsid9455,Codes related to State County Contract  for Human or Social  Services contracts,Caleb1,2/5/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\CompactionIterable.java
clsid9456,Codes related to County and Tribe Child Care services,Caleb2,1/6/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\CompactionManager.java
clsid9457,Codes for Juvenile Justice (Youth Aids) services,Caleb1,12/7/2015,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\CompactionManagerMBean.java
clsid9458,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb2,11/7/2015,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\CompactionTask.java
clsid9459,Codes related to other Child Care services,Caleb1,10/8/2015,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\DateTieredCompactionStrategy.java
clsid9460,Codes related to County and Tribe Child Care services,Caleb1,9/8/2015,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\DateTieredCompactionStrategyOptions.java
clsid9461,Used for the majority of grant programs processed in CORe,Caleb2,6/4/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\LazilyCompactedRow.java
clsid9462,Codes related to other Child Care services,Caleb2,5/5/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\LeveledCompactionStrategy.java
clsid9463,Codes for Juvenile Justice (Youth Aids) services,Caleb5,4/5/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\LeveledCompactionTask.java
clsid9464,Codes related to other Child Care services,Caleb4,3/6/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\LeveledManifest.java
clsid9465,Codes for child support services,Caleb1,2/5/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\OperationType.java
clsid9466,Used for the majority of grant programs processed in CORe,Caleb29,1/6/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\Scrubber.java
clsid9467,Codes for child support services,Caleb3,12/7/2015,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\SizeTieredCompactionStrategy.java
clsid9468,Codes for Juvenile Justice (Youth Aids) services,Caleb2,11/7/2015,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\SizeTieredCompactionStrategyOptions.java
clsid9469,Codes related to County and Tribe Child Care services,Caleb9,10/8/2015,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\SSTableSplitter.java
clsid9470,Used for the majority of grant programs processed in CORe,Caleb13,9/8/2015,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\Upgrader.java
clsid9471,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,6/4/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\Verifier.java
clsid9472,Codes for Juvenile Justice (Youth Aids) services,Caleb20,5/5/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\WrappingCompactionStrategy.java
clsid9473,Used for the majority of grant programs processed in CORe,Caleb2,4/5/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\writers\CompactionAwareWriter.java
clsid9474,Codes related to other Child Care services,Caleb1,3/6/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\writers\DefaultCompactionWriter.java
clsid9475,Codes related to other Child Care services,Caleb2,2/5/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\writers\MajorLeveledCompactionWriter.java
clsid9476,Used for the majority of grant programs processed in CORe,Caleb2,1/6/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\writers\MaxSSTableSizeWriter.java
clsid9477,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb2,12/7/2015,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\compaction\writers\SplittingSizeTieredCompactionWriter.java
clsid9478,Codes related to other Child Care services,Caleb1,11/7/2015,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\AbstractCellNameType.java
clsid9479,Codes for child support services,Caleb2,10/8/2015,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\AbstractComposite.java
clsid9480,Codes for Juvenile Justice (Youth Aids) services,Caleb2,9/8/2015,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\AbstractCompoundCellNameType.java
clsid9481,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,6/4/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\AbstractCType.java
clsid9482,Used for the majority of grant programs processed in CORe,Caleb2,5/5/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\AbstractSimpleCellNameType.java
clsid9483,Codes for Juvenile Justice (Youth Aids) services,Caleb36,4/5/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\BoundedComposite.java
clsid9484,Codes related to State County Contract  for Human or Social  Services contracts,Caleb12,3/6/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\CBuilder.java
clsid9485,Codes for child support services,Caleb1,2/5/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\CellName.java
clsid9486,Codes for child support services,Caleb1,1/6/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\CellNames.java
clsid9487,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,12/7/2015,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\CellNameType.java
clsid9488,Used for the majority of grant programs processed in CORe,Caleb14,11/7/2015,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\Composite.java
clsid9489,Codes for Juvenile Justice (Youth Aids) services,Caleb2,10/8/2015,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\Composites.java
clsid9490,Codes for Juvenile Justice (Youth Aids) services,Caleb1,9/8/2015,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\CompositesBuilder.java
clsid9491,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb1,6/4/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\CompoundComposite.java
clsid9492,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb1,5/5/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\CompoundCType.java
clsid9493,Codes for Juvenile Justice (Youth Aids) services,Caleb14,4/5/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\CompoundDenseCellName.java
clsid9494,Codes related to State County Contract  for Human or Social  Services contracts,Caleb2,3/6/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\CompoundDenseCellNameType.java
clsid9495,Codes for Juvenile Justice (Youth Aids) services,Caleb1,2/5/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\CompoundSparseCellName.java
clsid9496,Codes related to County and Tribe Child Care services,Caleb2,1/6/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\CompoundSparseCellNameType.java
clsid9497,Codes for child support services,Caleb2,12/7/2015,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\CType.java
clsid9498,Codes for child support services,Caleb2,11/7/2015,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\SimpleComposite.java
clsid9499,Codes related to State County Contract  for Human or Social  Services contracts,Caleb1,10/8/2015,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\SimpleCType.java
clsid9500,Codes related to County and Tribe Child Care services,Caleb2,9/8/2015,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\SimpleDenseCellName.java
clsid9501,Codes related to State County Contract  for Human or Social  Services contracts,Caleb16,6/4/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\SimpleDenseCellNameType.java
clsid9502,Codes related to other Child Care services,Caleb25,5/5/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\SimpleSparseCellName.java
clsid9503,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb20,4/5/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\SimpleSparseCellNameType.java
clsid9504,Codes for child support services,Caleb2,3/6/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\composites\SimpleSparseInternedCellName.java
clsid9505,Codes related to other Child Care services,Caleb1,2/5/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\ConsistencyLevel.java
clsid9506,Used for the majority of grant programs processed in CORe,Caleb1,1/6/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\context\CounterContext.java
clsid9507,Codes for Juvenile Justice (Youth Aids) services,Caleb1,12/7/2015,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\CounterCell.java
clsid9508,Codes related to County and Tribe Child Care services,Caleb1,11/7/2015,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\CounterMutation.java
clsid9509,Codes related to County and Tribe Child Care services,Caleb16,10/8/2015,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\CounterMutationVerbHandler.java
clsid9510,Codes for Juvenile Justice (Youth Aids) services,Caleb35,9/8/2015,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\CounterUpdateCell.java
clsid9511,Codes related to County and Tribe Child Care services,Caleb2,6/4/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\DataRange.java
clsid9512,Codes for child support services,Caleb1,5/5/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\DecoratedKey.java
clsid9513,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb26,4/5/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\DefinitionsUpdateVerbHandler.java
clsid9514,Codes related to County and Tribe Child Care services,Caleb49,3/6/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\DeletedCell.java
clsid9515,Codes related to other Child Care services,Caleb4,2/5/2016,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\DeletionInfo.java
clsid9516,Codes related to County and Tribe Child Care services,Caleb1,1/6/2016,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\DeletionTime.java
clsid9517,Codes related to State County Contract  for Human or Social  Services contracts,Caleb38,12/7/2015,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\Directories.java
clsid9518,Codes related to County and Tribe Child Care services,Caleb2,11/7/2015,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\ExpiringCell.java
clsid9519,Codes related to County and Tribe Child Care services,Caleb1,10/8/2015,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\filter\ColumnCounter.java
clsid9520,Codes for Juvenile Justice (Youth Aids) services,Caleb1,9/8/2015,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\filter\ColumnSlice.java
clsid9521,Used for the majority of grant programs processed in CORe,Caleb1,6/4/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\filter\ExtendedFilter.java
clsid9522,Codes for Juvenile Justice (Youth Aids) services,Caleb2,5/5/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\filter\IDiskAtomFilter.java
clsid9523,Codes for Juvenile Justice (Youth Aids) services,Caleb1,4/5/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\filter\NamesQueryFilter.java
clsid9524,Codes for Juvenile Justice (Youth Aids) services,Caleb1,3/6/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\filter\QueryFilter.java
clsid9525,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb1,2/5/2016,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\filter\SliceQueryFilter.java
clsid9526,Codes for Juvenile Justice (Youth Aids) services,Caleb2,1/6/2016,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\filter\TombstoneOverwhelmingException.java
clsid9527,Codes related to County and Tribe Child Care services,Caleb1,12/7/2015,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\HintedHandOffManager.java
clsid9528,Used for the majority of grant programs processed in CORe,Caleb2,11/7/2015,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\HintedHandOffManagerMBean.java
clsid9529,Codes related to County and Tribe Child Care services,Caleb1,10/8/2015,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\IMutation.java
clsid9530,Codes for child support services,Caleb2,9/8/2015,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\index\AbstractSimplePerColumnSecondaryIndex.java
clsid9531,Used for the majority of grant programs processed in CORe,Caleb2,6/4/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\index\composites\CompositesIndex.java
clsid9532,Codes for child support services,Caleb21,5/5/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\index\composites\CompositesIndexIncludingCollectionKey.java
clsid9533,Used for the majority of grant programs processed in CORe,Caleb1,4/5/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\index\composites\CompositesIndexOnClusteringKey.java
clsid9534,Codes related to County and Tribe Child Care services,Caleb1,3/6/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\index\composites\CompositesIndexOnCollectionKey.java
clsid9535,Codes related to other Child Care services,Caleb1,2/5/2016,V6.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\index\composites\CompositesIndexOnCollectionKeyAndValue.java
clsid9536,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb1,1/6/2016,V7.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\index\composites\CompositesIndexOnCollectionValue.java
clsid9537,Used for the majority of grant programs processed in CORe,Caleb2,12/7/2015,V8.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\index\composites\CompositesIndexOnPartitionKey.java
clsid9538,Used for the majority of grant programs processed in CORe,Caleb2,11/7/2015,V9.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\index\composites\CompositesIndexOnRegular.java
clsid9539,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb1,10/8/2015,V10.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\index\composites\CompositesSearcher.java
clsid9540,Codes for Juvenile Justice (Youth Aids) services,Caleb1,9/8/2015,V11.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\index\keys\KeysIndex.java
clsid9541,Codes used by county agencies for reporting Shared Cost and AMSO for cost allocation by random moment sampling.,Caleb13,6/4/2016,V0.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\index\keys\KeysSearcher.java
clsid9542,Codes for Juvenile Justice (Youth Aids) services,Caleb1,5/5/2016,V1.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\index\PerColumnSecondaryIndex.java
clsid9543,Codes for child support services,Caleb29,4/5/2016,V2.2,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\index\PerRowSecondaryIndex.java
clsid9544,Codes for child support services,Caleb22,3/6/2016,V3.3,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\index\SecondaryIndex.java
clsid9545,Codes related to County and Tribe Child Care services,Caleb1,2/5/2016,V4.0,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\index\SecondaryIndexBuilder.java
clsid9546,Codes related to County and Tribe Child Care services,Caleb1,1/6/2016,V5.1,.\UDFStuff\src_csdr\src\java\org\apache\cassandra\db\index\SecondaryIndexManager.java
