"COMPONENTID","COMPONENTNAME","FUNCTION"
"CP7902","Drug Reservoir","Patient''s health information should be available to those caring for the patient, and only those."
"CP7903","Patient Button","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP7904","Safety","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP7905","Failture LED","The patient should receive enough drug to relieve the pain."
"CP7906","Alarm Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP7907","Pump fault manager","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP7908","Error Dector","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP7909","Fault Logger","Patient''s health information should be available to those caring for the patient, and only those."
"CP7910","Upstream Monitor","The patient should not receive so much drug that makes him unaware"
"CP7911","Downstream Monitor","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP7912","ICE Bus Adapter","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP7913","Commands","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP7914","Parameters","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP7915","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"CP7916","Alarms","Performs primary pump operation"
"CP7917","Power Control","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP7918","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP7919","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP7920","Operation Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP7921","Drug Libary Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP7922","Event Logger Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP7923","Scanner","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP7924","Security Subsystem","The patient should receive enough drug to relieve the pain."
"CP7925","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP7926","Pump","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP7927","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP7928","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP7929","Drug Reservoir","The patient should not receive so much drug that makes him unaware"
"CP7930","Patient Button","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP7931","Safety","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP7932","Failture LED","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP7933","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP7934","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"CP7935","Error Dector","Performs primary pump operation"
"CP7936","Fault Logger","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP7937","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP7938","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP7939","ICE Bus Adapter","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP7940","Commands","Patient''s health information should be available to those caring for the patient, and only those."
"CP7941","Parameters","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP7942","Security Status","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP7943","Alarms","The patient should receive enough drug to relieve the pain."
"CP7944","Power Control","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP7945","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP7946","Operation Process","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP7947","Operation Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP7948","Drug Libary Thread","The patient should not receive so much drug that makes him unaware"
"CP7949","Event Logger Thread","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP7950","Scanner","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP7951","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP7952","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP7953","Pump","Patient''s health information should be available to those caring for the patient, and only those."
"CP7954","Upstream Monitor","Performs primary pump operation"
"CP7955","Downstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP7956","Drug Reservoir","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP7957","Patient Button","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP7958","Safety","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP7959","Failture LED","Patient''s health information should be available to those caring for the patient, and only those."
"CP7960","Alarm Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP7961","Pump fault manager","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP7962","Error Dector","The patient should receive enough drug to relieve the pain."
"CP7963","Fault Logger","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP7964","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP7965","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP7966","ICE Bus Adapter","Patient''s health information should be available to those caring for the patient, and only those."
"CP7967","Commands","The patient should not receive so much drug that makes him unaware"
"CP7968","Parameters","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP7969","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP7970","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP7971","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP7972","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"CP7973","Operation Process","Performs primary pump operation"
"CP7974","Operation Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP7975","Drug Libary Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP7976","Event Logger Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP7977","Scanner","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP7978","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"CP7979","Security Subsystem","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP7980","Pump","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP7981","Upstream Monitor","The patient should receive enough drug to relieve the pain."
"CP7982","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP7983","Drug Reservoir","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP7984","Patient Button","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP7985","Safety","Patient''s health information should be available to those caring for the patient, and only those."
"CP7986","Failture LED","The patient should not receive so much drug that makes him unaware"
"CP7987","Alarm Thread","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP7988","Pump fault manager","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP7989","Error Dector","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP7990","Fault Logger","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP7991","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP7992","Downstream Monitor","Performs primary pump operation"
"CP7993","ICE Bus Adapter","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP7994","Commands","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP7995","Parameters","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP7996","Security Status","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP7997","Alarms","Patient''s health information should be available to those caring for the patient, and only those."
"CP7998","Power Control","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP7999","Control Panel","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP8000","Operation Process","The patient should receive enough drug to relieve the pain."
"CP8001","Operation Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8002","Drug Libary Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8003","Event Logger Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8004","Scanner","Patient''s health information should be available to those caring for the patient, and only those."
"CP8005","Security Subsystem","The patient should not receive so much drug that makes him unaware"
"CP8006","Security Subsystem","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP8007","Pump","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8008","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8009","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8010","Drug Reservoir","Patient''s health information should be available to those caring for the patient, and only those."
"CP8011","Patient Button","Performs primary pump operation"
"CP8012","Safety","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP8013","Failture LED","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8014","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8015","Pump fault manager","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8016","Error Dector","Patient''s health information should be available to those caring for the patient, and only those."
"CP8017","Fault Logger","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP8018","Upstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP8019","Downstream Monitor","The patient should receive enough drug to relieve the pain."
"CP8020","ICE Bus Adapter","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8021","Commands","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8022","Parameters","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8023","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"CP8024","Alarms","The patient should not receive so much drug that makes him unaware"
"CP8025","Power Control","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP8026","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8027","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8028","Operation Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8029","Drug Libary Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP8030","Event Logger Thread","Performs primary pump operation"
"CP8031","Scanner","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP8032","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8033","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8034","Pump","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8035","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP8036","Downstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP8037","Drug Reservoir","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP8038","Patient Button","The patient should receive enough drug to relieve the pain."
"CP8039","Safety","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8040","Failture LED","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8041","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8042","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"CP8043","Error Dector","The patient should not receive so much drug that makes him unaware"
"CP8044","Fault Logger","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP8045","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8046","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8047","ICE Bus Adapter","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8048","Commands","Patient''s health information should be available to those caring for the patient, and only those."
"CP8049","Parameters","Performs primary pump operation"
"CP8050","Security Status","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP8051","Alarms","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8052","Power Control","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8053","Control Panel","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8054","Operation Process","Patient''s health information should be available to those caring for the patient, and only those."
"CP8055","Operation Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP8056","Drug Libary Thread","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP8057","Event Logger Thread","The patient should receive enough drug to relieve the pain."
"CP8058","Scanner","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8059","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8060","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8061","Pump","Patient''s health information should be available to those caring for the patient, and only those."
"CP8062","Upstream Monitor","The patient should not receive so much drug that makes him unaware"
"CP8063","Downstream Monitor","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP8064","Drug Reservoir","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8065","Patient Button","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8066","Safety","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8067","Failture LED","Patient''s health information should be available to those caring for the patient, and only those."
"CP8068","Alarm Thread","Performs primary pump operation"
"CP8069","Pump fault manager","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP8070","Error Dector","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8071","Fault Logger","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8072","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8073","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP8074","ICE Bus Adapter","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP8075","Commands","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP8076","Parameters","The patient should receive enough drug to relieve the pain."
"CP8077","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8078","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8079","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8080","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"CP8081","Operation Process","The patient should not receive so much drug that makes him unaware"
"CP8082","Operation Thread","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP8083","Drug Libary Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8084","Event Logger Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8085","Scanner","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8086","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"CP8087","Security Subsystem","Performs primary pump operation"
"CP8088","Pump","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP8089","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8090","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8091","Drug Reservoir","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8092","Patient Button","Patient''s health information should be available to those caring for the patient, and only those."
"CP8093","Safety","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP8094","Failture LED","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP8095","Alarm Thread","The patient should receive enough drug to relieve the pain."
"CP8096","Pump fault manager","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8097","Error Dector","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8098","Fault Logger","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8099","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP8100","Downstream Monitor","The patient should not receive so much drug that makes him unaware"
"CP8101","ICE Bus Adapter","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP8102","Commands","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8103","Parameters","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8104","Security Status","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8105","Alarms","Patient''s health information should be available to those caring for the patient, and only those."
"CP8106","Power Control","Performs primary pump operation"
"CP8107","Control Panel","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP8108","Operation Process","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8109","Operation Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8110","Drug Libary Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8111","Event Logger Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP8112","Scanner","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP8113","Security Subsystem","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP8114","Security Subsystem","The patient should receive enough drug to relieve the pain."
"CP8115","Pump","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8116","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8117","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8118","Drug Reservoir","Patient''s health information should be available to those caring for the patient, and only those."
"CP8119","Patient Button","The patient should not receive so much drug that makes him unaware"
"CP8120","Safety","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP8121","Failture LED","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8122","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8123","Pump fault manager","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8124","Error Dector","Patient''s health information should be available to those caring for the patient, and only those."
"CP8125","Fault Logger","Performs primary pump operation"
"CP8126","Upstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP8127","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8128","ICE Bus Adapter","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8129","Commands","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8130","Parameters","Patient''s health information should be available to those caring for the patient, and only those."
"CP8131","Security Status","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP8132","Alarms","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP8133","Power Control","The patient should receive enough drug to relieve the pain."
"CP8134","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8135","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8136","Operation Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8137","Drug Libary Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP8138","Event Logger Thread","The patient should not receive so much drug that makes him unaware"
"CP8139","Scanner","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP8140","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8141","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8142","Pump","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8143","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP8144","Downstream Monitor","Performs primary pump operation"
"CP8145","Drug Reservoir","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP8146","Patient Button","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8147","Safety","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8148","Failture LED","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8149","Alarm Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP8150","Pump fault manager","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP8151","Error Dector","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP8152","Fault Logger","The patient should receive enough drug to relieve the pain."
"CP8153","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8154","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8155","ICE Bus Adapter","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8156","Commands","Patient''s health information should be available to those caring for the patient, and only those."
"CP8157","Parameters","The patient should not receive so much drug that makes him unaware"
"CP8158","Security Status","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP8159","Alarms","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8160","Power Control","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8161","Control Panel","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8162","Operation Process","Patient''s health information should be available to those caring for the patient, and only those."
"CP8163","Operation Thread","Performs primary pump operation"
"CP8164","Drug Libary Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP8165","Event Logger Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8166","Scanner","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8167","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8168","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"CP8169","Pump","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP8170","Upstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP8171","Downstream Monitor","The patient should receive enough drug to relieve the pain."
"CP8172","Drug Reservoir","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8173","Patient Button","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8174","Safety","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8175","Failture LED","Patient''s health information should be available to those caring for the patient, and only those."
"CP8176","Alarm Thread","The patient should not receive so much drug that makes him unaware"
"CP8177","Pump fault manager","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP8178","Error Dector","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8179","Fault Logger","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8180","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8181","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP8182","ICE Bus Adapter","Performs primary pump operation"
"CP8183","Commands","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP8184","Parameters","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8185","Security Status","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8186","Alarms","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8187","Power Control","Patient''s health information should be available to those caring for the patient, and only those."
"CP8188","Control Panel","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP8189","Operation Process","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP8190","Operation Thread","The patient should receive enough drug to relieve the pain."
"CP8191","Drug Libary Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8192","Event Logger Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8193","Scanner","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8194","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"CP8195","Security Subsystem","The patient should not receive so much drug that makes him unaware"
"CP8196","Pump","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP8197","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8198","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8199","Drug Reservoir","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8200","Patient Button","Patient''s health information should be available to those caring for the patient, and only those."
"CP8201","Safety","Performs primary pump operation"
"CP8202","Failture LED","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP8203","Alarm Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8204","Pump fault manager","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8205","Error Dector","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8206","Fault Logger","Patient''s health information should be available to those caring for the patient, and only those."
"CP8207","Upstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP8208","Downstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP8209","ICE Bus Adapter","The patient should receive enough drug to relieve the pain."
"CP8210","Commands","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8211","Parameters","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8212","Security Status","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8213","Alarms","Patient''s health information should be available to those caring for the patient, and only those."
"CP8214","Power Control","The patient should not receive so much drug that makes him unaware"
"CP8215","Control Panel","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP8216","Operation Process","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8217","Operation Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8218","Drug Libary Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8219","Event Logger Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP8220","Scanner","Performs primary pump operation"
"CP8221","Security Subsystem","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP8222","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8223","Pump","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8224","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8225","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"CP8226","Drug Reservoir","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP8227","Patient Button","The fault logger records all errors that are detected. As such it is pure hardware that"
"CP8228","Safety","The patient should receive enough drug to relieve the pain."
"CP8229","Failture LED","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8230","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8231","Pump fault manager","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8232","Error Dector","Patient''s health information should be available to those caring for the patient, and only those."
"CP8233","Fault Logger","The patient should not receive so much drug that makes him unaware"
"CP8234","Upstream Monitor","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"CP8235","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8236","ICE Bus Adapter","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8237","Commands","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8238","Parameters","Patient''s health information should be available to those caring for the patient, and only those."
"CP8239","Security Status","Performs primary pump operation"
"CP8240","Alarms","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"CP8241","Power Control","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"CP8242","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"CP8243","Operation Process","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"CP8244","Operation Thread","Patient''s health information should be available to those caring for the patient, and only those."
"CP8245","Drug Libary Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"CP8246","Event Logger Thread","The fault logger records all errors that are detected. As such it is pure hardware that"
