"SUBCOMPONENTID","COMPONENTNAME","FUNCTION"
"SCP13441","Patient Button","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13442","Safety","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13443","Failture LED","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13444","Alarm Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13445","Pump fault manager","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13446","Security Status","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13447","Alarms","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP13448","Power Control","The patient should receive enough drug to relieve the pain."
"SCP13449","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13450","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13451","Operation Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13452","Drug Libary Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13453","Event Logger Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13454","Scanner","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13455","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13456","Security Subsystem","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13457","Pump","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13458","Error Dector","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13459","Fault Logger","The patient should not receive so much drug that makes him unaware"
"SCP13460","Upstream Monitor","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP13461","Downstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13462","ICE Bus Adapter","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13463","Commands","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13464","Parameters","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13465","Alarm Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13466","Pump fault manager","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13467","Security Status","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13468","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13469","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13470","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13471","Operation Process","Performs primary pump operation"
"SCP13472","Upstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13473","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13474","Drug Reservoir","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13475","Patient Button","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13476","Safety","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13477","Failture LED","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13478","Alarm Thread","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP13479","Pump fault manager","The patient should receive enough drug to relieve the pain."
"SCP13480","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13481","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13482","Power Control","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13483","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13484","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13485","Operation Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13486","Drug Libary Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13487","Event Logger Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13488","Scanner","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13489","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13490","Security Subsystem","The patient should not receive so much drug that makes him unaware"
"SCP13491","Pump","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP13492","Error Dector","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13493","Fault Logger","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13494","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13495","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13496","ICE Bus Adapter","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13497","Commands","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13498","Parameters","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13499","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13500","Pump fault manager","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13501","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13502","Alarms","Performs primary pump operation"
"SCP13503","Power Control","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13504","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13505","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13506","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13507","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13508","Drug Reservoir","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13509","Patient Button","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP13510","Safety","The patient should receive enough drug to relieve the pain."
"SCP13511","Failture LED","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13512","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13513","Pump fault manager","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13514","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13515","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13516","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13517","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13518","Operation Process","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13519","Operation Thread","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13520","Drug Libary Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13521","Event Logger Thread","The patient should not receive so much drug that makes him unaware"
"SCP13522","Scanner","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP13523","Security Subsystem","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13524","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13525","Pump","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13526","Error Dector","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13527","Fault Logger","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13528","Upstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13529","Downstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13530","ICE Bus Adapter","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13531","Commands","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13532","Parameters","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13533","Alarm Thread","Performs primary pump operation"
"SCP13534","Pump fault manager","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13535","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13536","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13537","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13538","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13539","Operation Process","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13540","Upstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP13541","Downstream Monitor","The patient should receive enough drug to relieve the pain."
"SCP13542","Drug Reservoir","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13543","Patient Button","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13544","Safety","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13545","Failture LED","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13546","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13547","Pump fault manager","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13548","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13549","Alarms","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13550","Power Control","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13551","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13552","Operation Process","The patient should not receive so much drug that makes him unaware"
"SCP13553","Operation Thread","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP13554","Drug Libary Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13555","Event Logger Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13556","Scanner","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13557","Security Subsystem","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13558","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13559","Pump","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13560","Error Dector","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13561","Fault Logger","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13562","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13563","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13564","ICE Bus Adapter","Performs primary pump operation"
"SCP13565","Commands","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13566","Parameters","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13567","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13568","Pump fault manager","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13569","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13570","Alarms","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13571","Power Control","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP13572","Control Panel","The patient should receive enough drug to relieve the pain."
"SCP13573","Operation Process","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13574","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13575","Downstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13576","Drug Reservoir","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13577","Patient Button","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13578","Safety","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13579","Failture LED","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13580","Alarm Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13581","Pump fault manager","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13582","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13583","Alarms","The patient should not receive so much drug that makes him unaware"
"SCP13584","Power Control","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP13585","Control Panel","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13586","Operation Process","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13587","Operation Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13588","Drug Libary Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13589","Event Logger Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13590","Scanner","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13591","Security Subsystem","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13592","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13593","Pump","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13594","Error Dector","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13595","Fault Logger","Performs primary pump operation"
"SCP13596","Upstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13597","Downstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13598","ICE Bus Adapter","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13599","Commands","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13600","Parameters","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13601","Alarm Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13602","Pump fault manager","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP13603","Security Status","The patient should receive enough drug to relieve the pain."
"SCP13604","Alarms","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13605","Power Control","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13606","Control Panel","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13607","Operation Process","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13608","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13609","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13610","Drug Reservoir","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13611","Patient Button","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13612","Safety","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13613","Failture LED","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13614","Alarm Thread","The patient should not receive so much drug that makes him unaware"
"SCP13615","Pump fault manager","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP13616","Security Status","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13617","Alarms","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13618","Power Control","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13619","Control Panel","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13620","Operation Process","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13621","Operation Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13622","Drug Libary Thread","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13623","Event Logger Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13624","Scanner","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13625","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13626","Security Subsystem","Performs primary pump operation"
"SCP13627","Pump","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13628","Error Dector","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13629","Fault Logger","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13630","Upstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13631","Downstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13632","ICE Bus Adapter","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13633","Commands","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP13634","Parameters","The patient should receive enough drug to relieve the pain."
"SCP13635","Alarm Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13636","Pump fault manager","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13637","Security Status","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13638","Alarms","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13639","Power Control","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13640","Control Panel","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13641","Operation Process","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13642","Upstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13643","Downstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13644","Drug Reservoir","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13645","Patient Button","The patient should not receive so much drug that makes him unaware"
"SCP13646","Safety","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP13647","Failture LED","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13648","Alarm Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13649","Pump fault manager","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13650","Security Status","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13651","Alarms","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13652","Power Control","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13653","Control Panel","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13654","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13655","Operation Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13656","Drug Libary Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13657","Event Logger Thread","Performs primary pump operation"
"SCP13658","Scanner","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13659","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13660","Security Subsystem","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13661","Pump","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13662","Error Dector","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13663","Fault Logger","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13664","Upstream Monitor","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP13665","Downstream Monitor","The patient should receive enough drug to relieve the pain."
"SCP13666","ICE Bus Adapter","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13667","Commands","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13668","Parameters","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13669","Alarm Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13670","Pump fault manager","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13671","Security Status","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13672","Alarms","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13673","Power Control","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13674","Control Panel","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13675","Operation Process","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13676","Upstream Monitor","The patient should not receive so much drug that makes him unaware"
"SCP13677","Downstream Monitor","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP13678","Drug Reservoir","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13679","Patient Button","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13680","Safety","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13681","Failture LED","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13682","Alarm Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13683","Pump fault manager","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13684","Security Status","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13685","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13686","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13687","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13688","Operation Process","Performs primary pump operation"
"SCP13689","Operation Thread","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13690","Drug Libary Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13691","Event Logger Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13692","Scanner","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13693","Security Subsystem","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13694","Security Subsystem","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13695","Pump","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP13696","Error Dector","The patient should receive enough drug to relieve the pain."
"SCP13697","Fault Logger","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13698","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13699","Downstream Monitor","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13700","ICE Bus Adapter","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13701","Commands","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13702","Parameters","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13703","Alarm Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13704","Pump fault manager","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13705","Security Status","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13706","Alarms","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13707","Power Control","The patient should not receive so much drug that makes him unaware"
"SCP13708","Control Panel","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP13709","Operation Process","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13710","Upstream Monitor","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13711","Downstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13712","Drug Reservoir","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13713","Patient Button","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13714","Safety","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13715","Failture LED","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13716","Alarm Thread","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13717","Pump fault manager","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13718","Security Status","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13719","Alarms","Performs primary pump operation"
"SCP13720","Power Control","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13721","Control Panel","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13722","Operation Process","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13723","Operation Thread","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13724","Drug Libary Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13725","Event Logger Thread","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13726","Scanner","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP13727","Security Subsystem","The patient should receive enough drug to relieve the pain."
"SCP13728","Security Subsystem","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13729","Pump","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13730","Error Dector","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13731","Fault Logger","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13732","Upstream Monitor","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13733","Downstream Monitor","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13734","ICE Bus Adapter","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13735","Commands","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13736","Parameters","The fault logger records all errors that are detected. As such it is pure hardware thatPatients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13737","Alarm Thread","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13738","Pump fault manager","The patient should not receive so much drug that makes him unaware"
"SCP13739","Security Status","Clinician(s) should be notified upon occurrence of hazardous conditions, unless alarms have been inactivated."
"SCP13740","Alarms","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13741","Power Control","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13742","Control Panel","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13743","Operation Process","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13744","Upstream Monitor","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13745","Downstream Monitor","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13746","Drug Reservoir","The fault logger records all errors that are detected. As such it is pure hardware thatThe PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13747","Patient Button","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13748","Safety","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13749","Failture LED","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13750","Alarm Thread","Performs primary pump operation"
"SCP13751","Pump fault manager","Used by an authorized clinician to start and stop infusion. Displays information, sounds and"
"SCP13752","Security Status","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13753","Alarms","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
"SCP13754","Power Control","Patients should receive the drug as prescribed by their physician, administered by appropriate clinicians."
"SCP13755","Control Panel","Patient''s health information should be available to those caring for the patient, and only those."
"SCP13756","Operation Process","Performs authentication calculations of patient wrist bands, clinician badges, prescription la"
"SCP13757","Operation Thread","The fault logger records all errors that are detected. As such it is pure hardware that"
"SCP13758","Drug Libary Thread","The patient should receive enough drug to relieve the pain."
"SCP13759","Event Logger Thread","The PCA pump should detect the smallest-possible air-in-line embolism (bubble)."
"SCP13760","Scanner","The PCA pump shall infuse safely when failures occur or hazards are detected.14"
