"EXCEPTIONCASESTEPID","DESCRIPTION"
"ECS22023","blockage between reservoir and pump"
"ECS22024","bubble detection"
"ECS22025","dose reaches maximum allowed by drug library"
"ECS22026","clinician not authorized to operate pump"
"ECS22027","basal rate or bolus VTBI exceeded hard limit"
"ECS22028","power-on self test fails"
"ECS22029","PCA pump detects its own failure"
"ECS22030","pump fails to prime after loading drug reservoir"
"ECS22031","measured flow rate exceeds setting"
"ECS22032","measured flow rate below setting"
"ECS22033","pump temperature exceeds 55 C"
"ECS22034","ng drug reservoir"
"ECS22035","measured flow rate exceeds setting"
"ECS22036","patient not admitted to hospital"
"ECS22037","drug or prescription not intended for this patient"
"ECS22038","no audible alarm"
"ECS22039","indication of no ICE alarms enabled"
"ECS22040","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22041","blockage between pump and patient"
"ECS22042","blockage between reservoir and pump"
"ECS22043","bubble detection"
"ECS22044","dose reaches maximum allowed by drug library"
"ECS22045","clinician not authorized to operate pump"
"ECS22046","patient not admitted to hospital"
"ECS22047","the drug libary fails authenticity or integrity check"
"ECS22048","basal rate or bolus VTBI exceeded soft limit"
"ECS22049","measured flow rate below setting"
"ECS22050","pump temperature exceeds 55 C"
"ECS22051","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22052","blockage between pump and patient"
"ECS22053","blockage between reservoir and pump"
"ECS22054","bubble detection"
"ECS22055","dose reaches maximum allowed by drug library"
"ECS22056","clinician not authorized to operate pump"
"ECS22057","basal rate or bolus VTBI exceeded hard limit"
"ECS22058","power-on self test fails"
"ECS22059","PCA pump detects its own failure"
"ECS22060","pump fails to prime after loading drug reservoir"
"ECS22061","measured flow rate exceeds setting"
"ECS22062","measured flow rate below setting"
"ECS22063","pump temperature exceeds 55 C"
"ECS22064","ng drug reservoir"
"ECS22065","measured flow rate exceeds setting"
"ECS22066","patient not admitted to hospital"
"ECS22067","drug or prescription not intended for this patient"
"ECS22068","no audible alarm"
"ECS22069","indication of no ICE alarms enabled"
"ECS22070","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22071","blockage between pump and patient"
"ECS22072","blockage between reservoir and pump"
"ECS22073","bubble detection"
"ECS22074","dose reaches maximum allowed by drug library"
"ECS22075","clinician not authorized to operate pump"
"ECS22076","patient not admitted to hospital"
"ECS22077","the drug libary fails authenticity or integrity check"
"ECS22078","basal rate or bolus VTBI exceeded soft limit"
"ECS22079","measured flow rate below setting"
"ECS22080","pump temperature exceeds 55 C"
"ECS22081","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22082","blockage between pump and patient"
"ECS22083","blockage between reservoir and pump"
"ECS22084","bubble detection"
"ECS22085","dose reaches maximum allowed by drug library"
"ECS22086","clinician not authorized to operate pump"
"ECS22087","basal rate or bolus VTBI exceeded hard limit"
"ECS22088","power-on self test fails"
"ECS22089","PCA pump detects its own failure"
"ECS22090","pump fails to prime after loading drug reservoir"
"ECS22091","measured flow rate exceeds setting"
"ECS22092","measured flow rate below setting"
"ECS22093","pump temperature exceeds 55 C"
"ECS22094","ng drug reservoir"
"ECS22095","measured flow rate exceeds setting"
"ECS22096","patient not admitted to hospital"
"ECS22097","drug or prescription not intended for this patient"
"ECS22098","no audible alarm"
"ECS22099","indication of no ICE alarms enabled"
"ECS22100","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22101","blockage between pump and patient"
"ECS22102","blockage between reservoir and pump"
"ECS22103","bubble detection"
"ECS22104","dose reaches maximum allowed by drug library"
"ECS22105","clinician not authorized to operate pump"
"ECS22106","patient not admitted to hospital"
"ECS22107","the drug libary fails authenticity or integrity check"
"ECS22108","basal rate or bolus VTBI exceeded soft limit"
"ECS22109","measured flow rate below setting"
"ECS22110","pump temperature exceeds 55 C"
"ECS22111","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22112","blockage between pump and patient"
"ECS22113","blockage between reservoir and pump"
"ECS22114","bubble detection"
"ECS22115","dose reaches maximum allowed by drug library"
"ECS22116","clinician not authorized to operate pump"
"ECS22117","basal rate or bolus VTBI exceeded hard limit"
"ECS22118","power-on self test fails"
"ECS22119","PCA pump detects its own failure"
"ECS22120","pump fails to prime after loading drug reservoir"
"ECS22121","measured flow rate exceeds setting"
"ECS22122","measured flow rate below setting"
"ECS22123","pump temperature exceeds 55 C"
"ECS22124","ng drug reservoir"
"ECS22125","measured flow rate exceeds setting"
"ECS22126","patient not admitted to hospital"
"ECS22127","drug or prescription not intended for this patient"
"ECS22128","no audible alarm"
"ECS22129","indication of no ICE alarms enabled"
"ECS22130","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22131","blockage between pump and patient"
"ECS22132","blockage between reservoir and pump"
"ECS22133","bubble detection"
"ECS22134","dose reaches maximum allowed by drug library"
"ECS22135","clinician not authorized to operate pump"
"ECS22136","patient not admitted to hospital"
"ECS22137","the drug libary fails authenticity or integrity check"
"ECS22138","basal rate or bolus VTBI exceeded soft limit"
"ECS22139","measured flow rate below setting"
"ECS22140","pump temperature exceeds 55 C"
"ECS22141","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22142","blockage between pump and patient"
"ECS22143","blockage between reservoir and pump"
"ECS22144","bubble detection"
"ECS22145","dose reaches maximum allowed by drug library"
"ECS22146","clinician not authorized to operate pump"
"ECS22147","basal rate or bolus VTBI exceeded hard limit"
"ECS22148","power-on self test fails"
"ECS22149","PCA pump detects its own failure"
"ECS22150","pump fails to prime after loading drug reservoir"
"ECS22151","measured flow rate exceeds setting"
"ECS22152","measured flow rate below setting"
"ECS22153","pump temperature exceeds 55 C"
"ECS22154","ng drug reservoir"
"ECS22155","measured flow rate exceeds setting"
"ECS22156","patient not admitted to hospital"
"ECS22157","drug or prescription not intended for this patient"
"ECS22158","no audible alarm"
"ECS22159","indication of no ICE alarms enabled"
"ECS22160","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22161","blockage between pump and patient"
"ECS22162","blockage between reservoir and pump"
"ECS22163","bubble detection"
"ECS22164","dose reaches maximum allowed by drug library"
"ECS22165","clinician not authorized to operate pump"
"ECS22166","patient not admitted to hospital"
"ECS22167","the drug libary fails authenticity or integrity check"
"ECS22168","basal rate or bolus VTBI exceeded soft limit"
"ECS22169","measured flow rate below setting"
"ECS22170","pump temperature exceeds 55 C"
"ECS22171","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22172","blockage between pump and patient"
"ECS22173","blockage between reservoir and pump"
"ECS22174","bubble detection"
"ECS22175","dose reaches maximum allowed by drug library"
"ECS22176","clinician not authorized to operate pump"
"ECS22177","basal rate or bolus VTBI exceeded hard limit"
"ECS22178","power-on self test fails"
"ECS22179","PCA pump detects its own failure"
"ECS22180","pump fails to prime after loading drug reservoir"
"ECS22181","measured flow rate exceeds setting"
"ECS22182","measured flow rate below setting"
"ECS22183","pump temperature exceeds 55 C"
"ECS22184","ng drug reservoir"
"ECS22185","measured flow rate exceeds setting"
"ECS22186","patient not admitted to hospital"
"ECS22187","drug or prescription not intended for this patient"
"ECS22188","no audible alarm"
"ECS22189","indication of no ICE alarms enabled"
"ECS22190","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22191","blockage between pump and patient"
"ECS22192","blockage between reservoir and pump"
"ECS22193","bubble detection"
"ECS22194","dose reaches maximum allowed by drug library"
"ECS22195","clinician not authorized to operate pump"
"ECS22196","patient not admitted to hospital"
"ECS22197","the drug libary fails authenticity or integrity check"
"ECS22198","basal rate or bolus VTBI exceeded soft limit"
"ECS22199","measured flow rate below setting"
"ECS22200","pump temperature exceeds 55 C"
"ECS22201","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22202","blockage between pump and patient"
"ECS22203","blockage between reservoir and pump"
"ECS22204","bubble detection"
"ECS22205","dose reaches maximum allowed by drug library"
"ECS22206","clinician not authorized to operate pump"
"ECS22207","basal rate or bolus VTBI exceeded hard limit"
"ECS22208","power-on self test fails"
"ECS22209","PCA pump detects its own failure"
"ECS22210","pump fails to prime after loading drug reservoir"
"ECS22211","measured flow rate exceeds setting"
"ECS22212","measured flow rate below setting"
"ECS22213","pump temperature exceeds 55 C"
"ECS22214","ng drug reservoir"
"ECS22215","measured flow rate exceeds setting"
"ECS22216","patient not admitted to hospital"
"ECS22217","drug or prescription not intended for this patient"
"ECS22218","no audible alarm"
"ECS22219","indication of no ICE alarms enabled"
"ECS22220","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22221","blockage between pump and patient"
"ECS22222","blockage between reservoir and pump"
"ECS22223","bubble detection"
"ECS22224","dose reaches maximum allowed by drug library"
"ECS22225","clinician not authorized to operate pump"
"ECS22226","patient not admitted to hospital"
"ECS22227","the drug libary fails authenticity or integrity check"
"ECS22228","basal rate or bolus VTBI exceeded soft limit"
"ECS22229","measured flow rate below setting"
"ECS22230","pump temperature exceeds 55 C"
"ECS22231","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22232","blockage between pump and patient"
"ECS22233","blockage between reservoir and pump"
"ECS22234","bubble detection"
"ECS22235","dose reaches maximum allowed by drug library"
"ECS22236","clinician not authorized to operate pump"
"ECS22237","basal rate or bolus VTBI exceeded hard limit"
"ECS22238","power-on self test fails"
"ECS22239","PCA pump detects its own failure"
"ECS22240","pump fails to prime after loading drug reservoir"
"ECS22241","measured flow rate exceeds setting"
"ECS22242","measured flow rate below setting"
"ECS22243","pump temperature exceeds 55 C"
"ECS22244","ng drug reservoir"
"ECS22245","measured flow rate exceeds setting"
"ECS22246","patient not admitted to hospital"
"ECS22247","drug or prescription not intended for this patient"
"ECS22248","no audible alarm"
"ECS22249","indication of no ICE alarms enabled"
"ECS22250","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22251","blockage between pump and patient"
"ECS22252","blockage between reservoir and pump"
"ECS22253","bubble detection"
"ECS22254","dose reaches maximum allowed by drug library"
"ECS22255","clinician not authorized to operate pump"
"ECS22256","patient not admitted to hospital"
"ECS22257","the drug libary fails authenticity or integrity check"
"ECS22258","basal rate or bolus VTBI exceeded soft limit"
"ECS22259","measured flow rate below setting"
"ECS22260","pump temperature exceeds 55 C"
"ECS22261","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22262","blockage between pump and patient"
"ECS22263","blockage between reservoir and pump"
"ECS22264","bubble detection"
"ECS22265","dose reaches maximum allowed by drug library"
"ECS22266","clinician not authorized to operate pump"
"ECS22267","basal rate or bolus VTBI exceeded hard limit"
"ECS22268","power-on self test fails"
"ECS22269","PCA pump detects its own failure"
"ECS22270","pump fails to prime after loading drug reservoir"
"ECS22271","measured flow rate exceeds setting"
"ECS22272","measured flow rate below setting"
"ECS22273","pump temperature exceeds 55 C"
"ECS22274","ng drug reservoir"
"ECS22275","measured flow rate exceeds setting"
"ECS22276","patient not admitted to hospital"
"ECS22277","drug or prescription not intended for this patient"
"ECS22278","no audible alarm"
"ECS22279","indication of no ICE alarms enabled"
"ECS22280","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22281","blockage between pump and patient"
"ECS22282","blockage between reservoir and pump"
"ECS22283","bubble detection"
"ECS22284","dose reaches maximum allowed by drug library"
"ECS22285","clinician not authorized to operate pump"
"ECS22286","patient not admitted to hospital"
"ECS22287","the drug libary fails authenticity or integrity check"
"ECS22288","basal rate or bolus VTBI exceeded soft limit"
"ECS22289","measured flow rate below setting"
"ECS22290","pump temperature exceeds 55 C"
"ECS22291","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22292","blockage between pump and patient"
"ECS22293","blockage between reservoir and pump"
"ECS22294","bubble detection"
"ECS22295","dose reaches maximum allowed by drug library"
"ECS22296","clinician not authorized to operate pump"
"ECS22297","basal rate or bolus VTBI exceeded hard limit"
"ECS22298","power-on self test fails"
"ECS22299","PCA pump detects its own failure"
"ECS22300","pump fails to prime after loading drug reservoir"
"ECS22301","measured flow rate exceeds setting"
"ECS22302","measured flow rate below setting"
"ECS22303","pump temperature exceeds 55 C"
"ECS22304","ng drug reservoir"
"ECS22305","measured flow rate exceeds setting"
"ECS22306","patient not admitted to hospital"
"ECS22307","drug or prescription not intended for this patient"
"ECS22308","no audible alarm"
"ECS22309","indication of no ICE alarms enabled"
"ECS22310","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22311","blockage between pump and patient"
"ECS22312","blockage between reservoir and pump"
"ECS22313","bubble detection"
"ECS22314","dose reaches maximum allowed by drug library"
"ECS22315","clinician not authorized to operate pump"
"ECS22316","patient not admitted to hospital"
"ECS22317","the drug libary fails authenticity or integrity check"
"ECS22318","basal rate or bolus VTBI exceeded soft limit"
"ECS22319","measured flow rate below setting"
"ECS22320","pump temperature exceeds 55 C"
"ECS22321","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22322","blockage between pump and patient"
"ECS22323","blockage between reservoir and pump"
"ECS22324","bubble detection"
"ECS22325","dose reaches maximum allowed by drug library"
"ECS22326","clinician not authorized to operate pump"
"ECS22327","basal rate or bolus VTBI exceeded hard limit"
"ECS22328","power-on self test fails"
"ECS22329","PCA pump detects its own failure"
"ECS22330","pump fails to prime after loading drug reservoir"
"ECS22331","measured flow rate exceeds setting"
"ECS22332","measured flow rate below setting"
"ECS22333","pump temperature exceeds 55 C"
"ECS22334","ng drug reservoir"
"ECS22335","measured flow rate exceeds setting"
"ECS22336","patient not admitted to hospital"
"ECS22337","drug or prescription not intended for this patient"
"ECS22338","no audible alarm"
"ECS22339","indication of no ICE alarms enabled"
"ECS22340","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22341","blockage between pump and patient"
"ECS22342","blockage between reservoir and pump"
"ECS22343","bubble detection"
"ECS22344","dose reaches maximum allowed by drug library"
"ECS22345","clinician not authorized to operate pump"
"ECS22346","patient not admitted to hospital"
"ECS22347","the drug libary fails authenticity or integrity check"
"ECS22348","basal rate or bolus VTBI exceeded soft limit"
"ECS22349","measured flow rate below setting"
"ECS22350","pump temperature exceeds 55 C"
"ECS22351","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22352","blockage between pump and patient"
"ECS22353","blockage between reservoir and pump"
"ECS22354","bubble detection"
"ECS22355","dose reaches maximum allowed by drug library"
"ECS22356","clinician not authorized to operate pump"
"ECS22357","basal rate or bolus VTBI exceeded hard limit"
"ECS22358","power-on self test fails"
"ECS22359","PCA pump detects its own failure"
"ECS22360","pump fails to prime after loading drug reservoir"
"ECS22361","measured flow rate exceeds setting"
"ECS22362","measured flow rate below setting"
"ECS22363","pump temperature exceeds 55 C"
"ECS22364","ng drug reservoir"
"ECS22365","measured flow rate exceeds setting"
"ECS22366","patient not admitted to hospital"
"ECS22367","drug or prescription not intended for this patient"
"ECS22368","no audible alarm"
"ECS22369","indication of no ICE alarms enabled"
"ECS22370","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22371","blockage between pump and patient"
"ECS22372","blockage between reservoir and pump"
"ECS22373","bubble detection"
"ECS22374","dose reaches maximum allowed by drug library"
"ECS22375","clinician not authorized to operate pump"
"ECS22376","patient not admitted to hospital"
"ECS22377","the drug libary fails authenticity or integrity check"
"ECS22378","basal rate or bolus VTBI exceeded soft limit"
"ECS22379","measured flow rate below setting"
"ECS22380","pump temperature exceeds 55 C"
"ECS22381","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22382","blockage between pump and patient"
"ECS22383","blockage between reservoir and pump"
"ECS22384","bubble detection"
"ECS22385","dose reaches maximum allowed by drug library"
"ECS22386","clinician not authorized to operate pump"
"ECS22387","basal rate or bolus VTBI exceeded hard limit"
"ECS22388","power-on self test fails"
"ECS22389","PCA pump detects its own failure"
"ECS22390","pump fails to prime after loading drug reservoir"
"ECS22391","measured flow rate exceeds setting"
"ECS22392","measured flow rate below setting"
"ECS22393","pump temperature exceeds 55 C"
"ECS22394","ng drug reservoir"
"ECS22395","measured flow rate exceeds setting"
"ECS22396","patient not admitted to hospital"
"ECS22397","drug or prescription not intended for this patient"
"ECS22398","no audible alarm"
"ECS22399","indication of no ICE alarms enabled"
"ECS22400","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22401","blockage between pump and patient"
"ECS22402","blockage between reservoir and pump"
"ECS22403","bubble detection"
"ECS22404","dose reaches maximum allowed by drug library"
"ECS22405","clinician not authorized to operate pump"
"ECS22406","patient not admitted to hospital"
"ECS22407","the drug libary fails authenticity or integrity check"
"ECS22408","basal rate or bolus VTBI exceeded soft limit"
"ECS22409","measured flow rate below setting"
"ECS22410","pump temperature exceeds 55 C"
"ECS22411","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22412","blockage between pump and patient"
"ECS22413","blockage between reservoir and pump"
"ECS22414","bubble detection"
"ECS22415","dose reaches maximum allowed by drug library"
"ECS22416","clinician not authorized to operate pump"
"ECS22417","basal rate or bolus VTBI exceeded hard limit"
"ECS22418","power-on self test fails"
"ECS22419","PCA pump detects its own failure"
"ECS22420","pump fails to prime after loading drug reservoir"
"ECS22421","measured flow rate exceeds setting"
"ECS22422","measured flow rate below setting"
"ECS22423","pump temperature exceeds 55 C"
"ECS22424","ng drug reservoir"
"ECS22425","measured flow rate exceeds setting"
"ECS22426","patient not admitted to hospital"
"ECS22427","drug or prescription not intended for this patient"
"ECS22428","no audible alarm"
"ECS22429","indication of no ICE alarms enabled"
"ECS22430","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22431","blockage between pump and patient"
"ECS22432","blockage between reservoir and pump"
"ECS22433","bubble detection"
"ECS22434","dose reaches maximum allowed by drug library"
"ECS22435","clinician not authorized to operate pump"
"ECS22436","patient not admitted to hospital"
"ECS22437","the drug libary fails authenticity or integrity check"
"ECS22438","basal rate or bolus VTBI exceeded soft limit"
"ECS22439","measured flow rate below setting"
"ECS22440","pump temperature exceeds 55 C"
"ECS22441","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22442","blockage between pump and patient"
"ECS22443","blockage between reservoir and pump"
"ECS22444","bubble detection"
"ECS22445","dose reaches maximum allowed by drug library"
"ECS22446","clinician not authorized to operate pump"
"ECS22447","basal rate or bolus VTBI exceeded hard limit"
"ECS22448","power-on self test fails"
"ECS22449","PCA pump detects its own failure"
"ECS22450","pump fails to prime after loading drug reservoir"
"ECS22451","measured flow rate exceeds setting"
"ECS22452","measured flow rate below setting"
"ECS22453","pump temperature exceeds 55 C"
"ECS22454","ng drug reservoir"
"ECS22455","measured flow rate exceeds setting"
"ECS22456","patient not admitted to hospital"
"ECS22457","drug or prescription not intended for this patient"
"ECS22458","no audible alarm"
"ECS22459","indication of no ICE alarms enabled"
"ECS22460","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22461","blockage between pump and patient"
"ECS22462","blockage between reservoir and pump"
"ECS22463","bubble detection"
"ECS22464","dose reaches maximum allowed by drug library"
"ECS22465","clinician not authorized to operate pump"
"ECS22466","patient not admitted to hospital"
"ECS22467","the drug libary fails authenticity or integrity check"
"ECS22468","basal rate or bolus VTBI exceeded soft limit"
"ECS22469","measured flow rate below setting"
"ECS22470","pump temperature exceeds 55 C"
"ECS22471","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22472","blockage between pump and patient"
"ECS22473","blockage between reservoir and pump"
"ECS22474","bubble detection"
"ECS22475","dose reaches maximum allowed by drug library"
"ECS22476","clinician not authorized to operate pump"
"ECS22477","basal rate or bolus VTBI exceeded hard limit"
"ECS22478","power-on self test fails"
"ECS22479","PCA pump detects its own failure"
"ECS22480","pump fails to prime after loading drug reservoir"
"ECS22481","measured flow rate exceeds setting"
"ECS22482","measured flow rate below setting"
"ECS22483","pump temperature exceeds 55 C"
"ECS22484","ng drug reservoir"
"ECS22485","measured flow rate exceeds setting"
"ECS22486","patient not admitted to hospital"
"ECS22487","drug or prescription not intended for this patient"
"ECS22488","no audible alarm"
"ECS22489","indication of no ICE alarms enabled"
"ECS22490","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22491","blockage between pump and patient"
"ECS22492","blockage between reservoir and pump"
"ECS22493","bubble detection"
"ECS22494","dose reaches maximum allowed by drug library"
"ECS22495","clinician not authorized to operate pump"
"ECS22496","patient not admitted to hospital"
"ECS22497","the drug libary fails authenticity or integrity check"
"ECS22498","basal rate or bolus VTBI exceeded soft limit"
"ECS22499","measured flow rate below setting"
"ECS22500","pump temperature exceeds 55 C"
"ECS22501","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22502","blockage between pump and patient"
"ECS22503","blockage between reservoir and pump"
"ECS22504","bubble detection"
"ECS22505","dose reaches maximum allowed by drug library"
"ECS22506","clinician not authorized to operate pump"
"ECS22507","basal rate or bolus VTBI exceeded hard limit"
"ECS22508","power-on self test fails"
"ECS22509","PCA pump detects its own failure"
"ECS22510","pump fails to prime after loading drug reservoir"
"ECS22511","measured flow rate exceeds setting"
"ECS22512","measured flow rate below setting"
"ECS22513","pump temperature exceeds 55 C"
"ECS22514","ng drug reservoir"
"ECS22515","measured flow rate exceeds setting"
"ECS22516","patient not admitted to hospital"
"ECS22517","drug or prescription not intended for this patient"
"ECS22518","no audible alarm"
"ECS22519","indication of no ICE alarms enabled"
"ECS22520","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22521","blockage between pump and patient"
"ECS22522","blockage between reservoir and pump"
"ECS22523","bubble detection"
"ECS22524","dose reaches maximum allowed by drug library"
"ECS22525","clinician not authorized to operate pump"
"ECS22526","patient not admitted to hospital"
"ECS22527","the drug libary fails authenticity or integrity check"
"ECS22528","basal rate or bolus VTBI exceeded soft limit"
"ECS22529","measured flow rate below setting"
"ECS22530","pump temperature exceeds 55 C"
"ECS22531","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22532","blockage between pump and patient"
"ECS22533","blockage between reservoir and pump"
"ECS22534","bubble detection"
"ECS22535","dose reaches maximum allowed by drug library"
"ECS22536","clinician not authorized to operate pump"
"ECS22537","basal rate or bolus VTBI exceeded hard limit"
"ECS22538","power-on self test fails"
"ECS22539","PCA pump detects its own failure"
"ECS22540","pump fails to prime after loading drug reservoir"
"ECS22541","measured flow rate exceeds setting"
"ECS22542","measured flow rate below setting"
"ECS22543","pump temperature exceeds 55 C"
"ECS22544","ng drug reservoir"
"ECS22545","measured flow rate exceeds setting"
"ECS22546","patient not admitted to hospital"
"ECS22547","drug or prescription not intended for this patient"
"ECS22548","no audible alarm"
"ECS22549","indication of no ICE alarms enabled"
"ECS22550","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22551","blockage between pump and patient"
"ECS22552","blockage between reservoir and pump"
"ECS22553","bubble detection"
"ECS22554","dose reaches maximum allowed by drug library"
"ECS22555","clinician not authorized to operate pump"
"ECS22556","patient not admitted to hospital"
"ECS22557","the drug libary fails authenticity or integrity check"
"ECS22558","basal rate or bolus VTBI exceeded soft limit"
"ECS22559","measured flow rate below setting"
"ECS22560","pump temperature exceeds 55 C"
"ECS22561","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22562","blockage between pump and patient"
"ECS22563","blockage between reservoir and pump"
"ECS22564","bubble detection"
"ECS22565","dose reaches maximum allowed by drug library"
"ECS22566","clinician not authorized to operate pump"
"ECS22567","basal rate or bolus VTBI exceeded hard limit"
"ECS22568","power-on self test fails"
"ECS22569","PCA pump detects its own failure"
"ECS22570","pump fails to prime after loading drug reservoir"
"ECS22571","measured flow rate exceeds setting"
"ECS22572","measured flow rate below setting"
"ECS22573","pump temperature exceeds 55 C"
"ECS22574","ng drug reservoir"
"ECS22575","measured flow rate exceeds setting"
"ECS22576","patient not admitted to hospital"
"ECS22577","drug or prescription not intended for this patient"
"ECS22578","no audible alarm"
"ECS22579","indication of no ICE alarms enabled"
"ECS22580","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22581","blockage between pump and patient"
"ECS22582","blockage between reservoir and pump"
"ECS22583","bubble detection"
"ECS22584","dose reaches maximum allowed by drug library"
"ECS22585","clinician not authorized to operate pump"
"ECS22586","patient not admitted to hospital"
"ECS22587","the drug libary fails authenticity or integrity check"
"ECS22588","basal rate or bolus VTBI exceeded soft limit"
"ECS22589","measured flow rate below setting"
"ECS22590","pump temperature exceeds 55 C"
"ECS22591","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22592","blockage between pump and patient"
"ECS22593","blockage between reservoir and pump"
"ECS22594","bubble detection"
"ECS22595","dose reaches maximum allowed by drug library"
"ECS22596","clinician not authorized to operate pump"
"ECS22597","basal rate or bolus VTBI exceeded hard limit"
"ECS22598","power-on self test fails"
"ECS22599","PCA pump detects its own failure"
"ECS22600","pump fails to prime after loading drug reservoir"
"ECS22601","measured flow rate exceeds setting"
"ECS22602","measured flow rate below setting"
"ECS22603","pump temperature exceeds 55 C"
"ECS22604","ng drug reservoir"
"ECS22605","measured flow rate exceeds setting"
"ECS22606","patient not admitted to hospital"
"ECS22607","drug or prescription not intended for this patient"
"ECS22608","no audible alarm"
"ECS22609","indication of no ICE alarms enabled"
"ECS22610","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22611","blockage between pump and patient"
"ECS22612","blockage between reservoir and pump"
"ECS22613","bubble detection"
"ECS22614","dose reaches maximum allowed by drug library"
"ECS22615","clinician not authorized to operate pump"
"ECS22616","patient not admitted to hospital"
"ECS22617","the drug libary fails authenticity or integrity check"
"ECS22618","basal rate or bolus VTBI exceeded soft limit"
"ECS22619","measured flow rate below setting"
"ECS22620","pump temperature exceeds 55 C"
"ECS22621","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22622","blockage between pump and patient"
"ECS22623","blockage between reservoir and pump"
"ECS22624","bubble detection"
"ECS22625","dose reaches maximum allowed by drug library"
"ECS22626","clinician not authorized to operate pump"
"ECS22627","basal rate or bolus VTBI exceeded hard limit"
"ECS22628","power-on self test fails"
"ECS22629","PCA pump detects its own failure"
"ECS22630","pump fails to prime after loading drug reservoir"
"ECS22631","measured flow rate exceeds setting"
"ECS22632","measured flow rate below setting"
"ECS22633","pump temperature exceeds 55 C"
"ECS22634","ng drug reservoir"
"ECS22635","measured flow rate exceeds setting"
"ECS22636","patient not admitted to hospital"
"ECS22637","drug or prescription not intended for this patient"
"ECS22638","no audible alarm"
"ECS22639","indication of no ICE alarms enabled"
"ECS22640","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22641","blockage between pump and patient"
"ECS22642","blockage between reservoir and pump"
"ECS22643","bubble detection"
"ECS22644","dose reaches maximum allowed by drug library"
"ECS22645","clinician not authorized to operate pump"
"ECS22646","patient not admitted to hospital"
"ECS22647","the drug libary fails authenticity or integrity check"
"ECS22648","basal rate or bolus VTBI exceeded soft limit"
"ECS22649","measured flow rate below setting"
"ECS22650","pump temperature exceeds 55 C"
"ECS22651","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22652","blockage between pump and patient"
"ECS22653","blockage between reservoir and pump"
"ECS22654","bubble detection"
"ECS22655","dose reaches maximum allowed by drug library"
"ECS22656","clinician not authorized to operate pump"
"ECS22657","basal rate or bolus VTBI exceeded hard limit"
"ECS22658","power-on self test fails"
"ECS22659","PCA pump detects its own failure"
"ECS22660","pump fails to prime after loading drug reservoir"
"ECS22661","measured flow rate exceeds setting"
"ECS22662","measured flow rate below setting"
"ECS22663","pump temperature exceeds 55 C"
"ECS22664","ng drug reservoir"
"ECS22665","measured flow rate exceeds setting"
"ECS22666","patient not admitted to hospital"
"ECS22667","drug or prescription not intended for this patient"
"ECS22668","no audible alarm"
"ECS22669","indication of no ICE alarms enabled"
"ECS22670","Bolus request denied because minimum time between boluses had not elapsed."
"ECS22671","blockage between pump and patient"
"ECS22672","blockage between reservoir and pump"
"ECS22673","bubble detection"
"ECS22674","dose reaches maximum allowed by drug library"
"ECS22675","clinician not authorized to operate pump"
"ECS22676","patient not admitted to hospital"
"ECS22677","the drug libary fails authenticity or integrity check"
"ECS22678","basal rate or bolus VTBI exceeded soft limit"
"ECS22679","measured flow rate below setting"
"ECS22680","pump temperature exceeds 55 C"
