"EXCEPTIONCASEID","PRIMARYACTOR","TITLE","DESCRIPTION"
"EC9124","ICE app","Air-in-line Embolism","bubble detection"
"EC9125","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9126","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9127","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC9128","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9129","Patient","Sound Failure","no audible alarm"
"EC9130","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC9131","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9132","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9133","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9134","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC9135","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC9136","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9137","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9138","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9139","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC9140","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9141","Patient","Downstream Occlusion","blockage between pump and patient"
"EC9142","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC9143","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC9144","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9145","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9146","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC9147","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9148","ICE app","Sound Failure","no audible alarm"
"EC9149","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC9150","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9151","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9152","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9153","Patient","Power-On Self Test Failure","power-on self test fails"
"EC9154","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC9155","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9156","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9157","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9158","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC9159","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9160","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC9161","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC9162","Clinician","Air-in-line Embolism","bubble detection"
"EC9163","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9164","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9165","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC9166","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9167","Patient or Clinician","Sound Failure","no audible alarm"
"EC9168","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC9169","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9170","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9171","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9172","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC9173","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC9174","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9175","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9176","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9177","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC9178","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9179","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC9180","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC9181","Patient","Air-in-line Embolism","bubble detection"
"EC9182","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9183","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9184","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC9185","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9186","Clinician","Sound Failure","no audible alarm"
"EC9187","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC9188","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9189","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9190","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9191","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC9192","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC9193","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9194","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9195","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9196","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC9197","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9198","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC9199","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC9200","ICE app","Air-in-line Embolism","bubble detection"
"EC9201","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9202","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9203","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC9204","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9205","Patient","Sound Failure","no audible alarm"
"EC9206","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC9207","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9208","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9209","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9210","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC9211","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC9212","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9213","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9214","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9215","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC9216","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9217","Patient","Downstream Occlusion","blockage between pump and patient"
"EC9218","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC9219","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC9220","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9221","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9222","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC9223","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9224","ICE app","Sound Failure","no audible alarm"
"EC9225","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC9226","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9227","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9228","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9229","Patient","Power-On Self Test Failure","power-on self test fails"
"EC9230","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC9231","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9232","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9233","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9234","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC9235","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9236","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC9237","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC9238","Clinician","Air-in-line Embolism","bubble detection"
"EC9239","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9240","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9241","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC9242","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9243","Patient or Clinician","Sound Failure","no audible alarm"
"EC9244","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC9245","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9246","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9247","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9248","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC9249","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC9250","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9251","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9252","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9253","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC9254","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9255","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC9256","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC9257","Patient","Air-in-line Embolism","bubble detection"
"EC9258","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9259","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9260","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC9261","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9262","Clinician","Sound Failure","no audible alarm"
"EC9263","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC9264","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9265","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9266","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9267","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC9268","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC9269","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9270","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9271","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9272","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC9273","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9274","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC9275","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC9276","ICE app","Air-in-line Embolism","bubble detection"
"EC9277","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9278","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9279","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC9280","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9281","Patient","Sound Failure","no audible alarm"
"EC9282","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC9283","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9284","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9285","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9286","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC9287","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC9288","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9289","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9290","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9291","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC9292","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9293","Patient","Downstream Occlusion","blockage between pump and patient"
"EC9294","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC9295","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC9296","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9297","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9298","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC9299","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9300","ICE app","Sound Failure","no audible alarm"
"EC9301","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC9302","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9303","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9304","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9305","Patient","Power-On Self Test Failure","power-on self test fails"
"EC9306","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC9307","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9308","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9309","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9310","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC9311","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9312","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC9313","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC9314","Clinician","Air-in-line Embolism","bubble detection"
"EC9315","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9316","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9317","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC9318","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9319","Patient or Clinician","Sound Failure","no audible alarm"
"EC9320","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC9321","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9322","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9323","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9324","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC9325","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC9326","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9327","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9328","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9329","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC9330","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9331","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC9332","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC9333","Patient","Air-in-line Embolism","bubble detection"
"EC9334","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9335","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9336","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC9337","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9338","Clinician","Sound Failure","no audible alarm"
"EC9339","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC9340","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9341","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9342","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9343","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC9344","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC9345","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9346","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9347","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9348","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC9349","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9350","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC9351","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC9352","ICE app","Air-in-line Embolism","bubble detection"
"EC9353","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9354","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9355","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC9356","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9357","Patient","Sound Failure","no audible alarm"
"EC9358","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC9359","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9360","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9361","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9362","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC9363","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC9364","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9365","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9366","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9367","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC9368","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9369","Patient","Downstream Occlusion","blockage between pump and patient"
"EC9370","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC9371","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC9372","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9373","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9374","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC9375","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9376","ICE app","Sound Failure","no audible alarm"
"EC9377","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC9378","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9379","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9380","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9381","Patient","Power-On Self Test Failure","power-on self test fails"
"EC9382","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC9383","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9384","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9385","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9386","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC9387","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9388","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC9389","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC9390","Clinician","Air-in-line Embolism","bubble detection"
"EC9391","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9392","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9393","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC9394","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9395","Patient or Clinician","Sound Failure","no audible alarm"
"EC9396","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC9397","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9398","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9399","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9400","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC9401","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC9402","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9403","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9404","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9405","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC9406","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9407","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC9408","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC9409","Patient","Air-in-line Embolism","bubble detection"
"EC9410","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9411","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9412","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC9413","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9414","Clinician","Sound Failure","no audible alarm"
"EC9415","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC9416","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9417","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9418","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9419","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC9420","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
"EC9421","Patient","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9422","Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9423","Patient or Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9424","ICE app","Pump Overheating","pump temperature exceeds 55 C"
"EC9425","Patient","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9426","Clinician","Downstream Occlusion","blockage between pump and patient"
"EC9427","Patient or Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC9428","ICE app","Air-in-line Embolism","bubble detection"
"EC9429","Patient","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9430","Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9431","Patient or Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC9432","ICE app","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9433","Patient","Sound Failure","no audible alarm"
"EC9434","Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC9435","Patient or Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9436","ICE app","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9437","Patient","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9438","Clinician","Power-On Self Test Failure","power-on self test fails"
"EC9439","Patient or Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC9440","ICE app","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9441","Patient","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9442","Clinician","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9443","Patient or Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC9444","ICE app","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9445","Patient","Downstream Occlusion","blockage between pump and patient"
"EC9446","Clinician","Upstream Occlusion","blockage between reservoir and pump"
"EC9447","Patient or Clinician","Air-in-line Embolism","bubble detection"
"EC9448","ICE app","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9449","Patient","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9450","Clinician","Patient Authentication Failure","patient not admitted to hospital"
"EC9451","Patient or Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9452","ICE app","Sound Failure","no audible alarm"
"EC9453","Patient","ICE Failure","indication of no ICE alarms enabled"
"EC9454","Clinician","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9455","Patient or Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9456","ICE app","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9457","Patient","Power-On Self Test Failure","power-on self test fails"
"EC9458","Clinician","Internal Electronic Failure","PCA pump detects its own failure"
"EC9459","Patient or Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9460","ICE app","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9461","Patient","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9462","Clinician","Pump Overheating","pump temperature exceeds 55 C"
"EC9463","Patient or Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9464","ICE app","Downstream Occlusion","blockage between pump and patient"
"EC9465","Patient","Upstream Occlusion","blockage between reservoir and pump"
"EC9466","Clinician","Air-in-line Embolism","bubble detection"
"EC9467","Patient or Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9468","ICE app","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9469","Patient","Patient Authentication Failure","patient not admitted to hospital"
"EC9470","Clinician","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9471","Patient or Clinician","Sound Failure","no audible alarm"
"EC9472","ICE app","ICE Failure","indication of no ICE alarms enabled"
"EC9473","Patient","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9474","Clinician","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9475","Patient or Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9476","ICE app","Power-On Self Test Failure","power-on self test fails"
"EC9477","Patient","Internal Electronic Failure","PCA pump detects its own failure"
"EC9478","Clinician","Pump Priming Failure","pump fails to prime after loading drug reservoir"
"EC9479","Patient or Clinician","Over-Flow Rate Alarm","measured flow rate exceeds setting"
"EC9480","ICE app","Under-Flow Rate Alarm","measured flow rate below setting"
"EC9481","Patient","Pump Overheating","pump temperature exceeds 55 C"
"EC9482","Clinician","Bolus request too soon","Bolus request denied because minimum time between boluses had not elapsed."
"EC9483","Patient or Clinician","Downstream Occlusion","blockage between pump and patient"
"EC9484","ICE app","Upstream Occlusion","blockage between reservoir and pump"
"EC9485","Patient","Air-in-line Embolism","bubble detection"
"EC9486","Clinician","Maximum Safe Dose","dose reaches maximum allowed by drug library"
"EC9487","Patient or Clinician","Clinician Authentication Failure","clinician not authorized to operate pump"
"EC9488","ICE app","Patient Authentication Failure","patient not admitted to hospital"
"EC9489","Patient","Prescription Authentication Failure","drug or prescription not intended for this patient"
"EC9490","Clinician","Sound Failure","no audible alarm"
"EC9491","Patient or Clinician","ICE Failure","indication of no ICE alarms enabled"
"EC9492","ICE app","Drug Library Not Present or Corrupted","the drug libary fails authenticity or integrity check"
"EC9493","Patient","Drug Library Soft Limit","basal rate or bolus VTBI exceeded soft limit"
"EC9494","Clinician","Drug Library Hard Limit","basal rate or bolus VTBI exceeded hard limit"
"EC9495","Patient or Clinician","Power-On Self Test Failure","power-on self test fails"
"EC9496","ICE app","Internal Electronic Failure","PCA pump detects its own failure"
