"USECASEID","PRIMARYACTOR","TITLE","DESCRIPTION"
"UC9437","Patient","Resume Operation After ICE-Dected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9438","Clinician","ICE-initiated Audible Alarm Inactivation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9439","ICE app","Resume Infusion","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9440","Clinician","Flush Pump"," "
"UC9441","Clinician or APP","Prime Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9442","Clinician","normal Operation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9443","Clinician","Patient-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9444","Patient","Clinician-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9445","Clinician","ICE-Dectected Hazard"," "
"UC9446","ICE app","Resume Operation After ICE-Dected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9447","Clinician","ICE-initiated Audible Alarm Inactivation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9448","Clinician or APP","Resume Infusion","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9449","Clinician","Flush Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9450","Clinician","Prime Pump"," "
"UC9451","Patient","normal Operation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9452","Clinician","Patient-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9453","ICE app","Clinician-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9454","Clinician","ICE-Dectected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9455","Clinician or APP","Resume Operation After ICE-Dected Hazard"," "
"UC9456","Clinician","ICE-initiated Audible Alarm Inactivation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9457","Clinician","Resume Infusion","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9458","Patient","Flush Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9459","Clinician","Prime Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9460","ICE app","normal Operation"," "
"UC9461","Clinician","Patient-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9462","Clinician or APP","Clinician-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9463","Clinician","ICE-Dectected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9464","Clinician","Resume Operation After ICE-Dected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9465","Patient","ICE-initiated Audible Alarm Inactivation"," "
"UC9466","Clinician","Resume Infusion","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9467","ICE app","Flush Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9468","Clinician","Prime Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9469","Clinician or APP","normal Operation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9470","Clinician","Patient-Requested Bolus"," "
"UC9471","Clinician","Clinician-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9472","Patient","ICE-Dectected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9473","Clinician","Resume Operation After ICE-Dected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9474","ICE app","ICE-initiated Audible Alarm Inactivation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9475","Clinician","Resume Infusion"," "
"UC9476","Clinician or APP","Flush Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9477","Clinician","Prime Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9478","Clinician","normal Operation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9479","Patient","Patient-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9480","Clinician","Clinician-Requested Bolus"," "
"UC9481","ICE app","ICE-Dectected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9482","Clinician","Resume Operation After ICE-Dected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9483","Clinician or APP","ICE-initiated Audible Alarm Inactivation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9484","Clinician","Resume Infusion","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9485","Clinician","Flush Pump"," "
"UC9486","Patient","Prime Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9487","Clinician","normal Operation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9488","ICE app","Patient-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9489","Clinician","Clinician-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9490","Clinician or APP","ICE-Dectected Hazard"," "
"UC9491","Clinician","Resume Operation After ICE-Dected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9492","Clinician","ICE-initiated Audible Alarm Inactivation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9493","Patient","Resume Infusion","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9494","Clinician","Flush Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9495","ICE app","Prime Pump"," "
"UC9496","Clinician","normal Operation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9497","Clinician or APP","Patient-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9498","Clinician","Clinician-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9499","Clinician","ICE-Dectected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9500","Patient","Resume Operation After ICE-Dected Hazard"," "
"UC9501","Clinician","ICE-initiated Audible Alarm Inactivation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9502","ICE app","Resume Infusion","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9503","Clinician","Flush Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9504","Clinician or APP","Prime Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9505","Clinician","normal Operation"," "
"UC9506","Clinician","Patient-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9507","Patient","Clinician-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9508","Clinician","ICE-Dectected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9509","ICE app","Resume Operation After ICE-Dected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9510","Clinician","ICE-initiated Audible Alarm Inactivation"," "
"UC9511","Clinician or APP","Resume Infusion","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9512","Clinician","Flush Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9513","Clinician","Prime Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9514","Patient","normal Operation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9515","Clinician","Patient-Requested Bolus"," "
"UC9516","ICE app","Clinician-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9517","Clinician","ICE-Dectected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9518","Clinician or APP","Resume Operation After ICE-Dected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9519","Clinician","ICE-initiated Audible Alarm Inactivation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9520","Clinician","Resume Infusion"," "
"UC9521","Patient","Flush Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9522","Clinician","Prime Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9523","ICE app","normal Operation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9524","Clinician","Patient-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9525","Clinician or APP","Clinician-Requested Bolus"," "
"UC9526","Clinician","ICE-Dectected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9527","Clinician","Resume Operation After ICE-Dected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9528","Patient","ICE-initiated Audible Alarm Inactivation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9529","Clinician","Resume Infusion","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9530","ICE app","Flush Pump"," "
"UC9531","Clinician","Prime Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9532","Clinician or APP","normal Operation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9533","Clinician","Patient-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9534","Clinician","Clinician-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9535","Patient","ICE-Dectected Hazard"," "
"UC9536","Clinician","Resume Operation After ICE-Dected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9537","ICE app","ICE-initiated Audible Alarm Inactivation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9538","Clinician","Resume Infusion","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9539","Clinician or APP","Flush Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9540","Clinician","Prime Pump"," "
"UC9541","Clinician","normal Operation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9542","Patient","Patient-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9543","Clinician","Clinician-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9544","ICE app","ICE-Dectected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9545","Clinician","Resume Operation After ICE-Dected Hazard"," "
"UC9546","Clinician or APP","ICE-initiated Audible Alarm Inactivation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9547","Clinician","Resume Infusion","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9548","Clinician","Flush Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9549","Patient","Prime Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9550","Clinician","normal Operation"," "
"UC9551","ICE app","Patient-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9552","Clinician","Clinician-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9553","Clinician or APP","ICE-Dectected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9554","Clinician","Resume Operation After ICE-Dected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9555","Clinician","ICE-initiated Audible Alarm Inactivation"," "
"UC9556","Patient","Resume Infusion","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9557","Clinician","Flush Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9558","ICE app","Prime Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9559","Clinician","normal Operation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9560","Clinician or APP","Patient-Requested Bolus"," "
"UC9561","Clinician","Clinician-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9562","Clinician","ICE-Dectected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9563","Patient","Resume Operation After ICE-Dected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9564","Clinician","ICE-initiated Audible Alarm Inactivation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9565","ICE app","Resume Infusion"," "
"UC9566","Clinician","Flush Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9567","Clinician or APP","Prime Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9568","Clinician","normal Operation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9569","Clinician","Patient-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9570","Patient","Clinician-Requested Bolus"," "
"UC9571","Clinician","ICE-Dectected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9572","ICE app","Resume Operation After ICE-Dected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9573","Clinician","ICE-initiated Audible Alarm Inactivation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9574","Clinician or APP","Resume Infusion","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9575","Clinician","Flush Pump"," "
"UC9576","Clinician","Prime Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9577","Patient","normal Operation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9578","Clinician","Patient-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9579","ICE app","Clinician-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9580","Clinician","ICE-Dectected Hazard"," "
"UC9581","Clinician or APP","Resume Operation After ICE-Dected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9582","Clinician","ICE-initiated Audible Alarm Inactivation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9583","Clinician","Resume Infusion","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9584","Patient","Flush Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9585","Clinician","Prime Pump"," "
"UC9586","ICE app","normal Operation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9587","Clinician","Patient-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9588","Clinician or APP","Clinician-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9589","Clinician","ICE-Dectected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9590","Clinician","Resume Operation After ICE-Dected Hazard"," "
"UC9591","Patient","ICE-initiated Audible Alarm Inactivation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9592","Clinician","Resume Infusion","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9593","ICE app","Flush Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9594","Clinician","Prime Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9595","Clinician or APP","normal Operation"," "
"UC9596","Clinician","Patient-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9597","Clinician","Clinician-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9598","Patient","ICE-Dectected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9599","Clinician","Resume Operation After ICE-Dected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9600","ICE app","ICE-initiated Audible Alarm Inactivation"," "
"UC9601","Clinician","Resume Infusion","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9602","Clinician or APP","Flush Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9603","Clinician","Prime Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9604","Clinician","normal Operation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9605","Patient","Patient-Requested Bolus"," "
"UC9606","Clinician","Clinician-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9607","ICE app","ICE-Dectected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9608","Clinician","Resume Operation After ICE-Dected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9609","Clinician or APP","ICE-initiated Audible Alarm Inactivation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9610","Clinician","Resume Infusion"," "
"UC9611","Clinician","Flush Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9612","Patient","Prime Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9613","Clinician","normal Operation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9614","ICE app","Patient-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9615","Clinician","Clinician-Requested Bolus"," "
"UC9616","Clinician or APP","ICE-Dectected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9617","Clinician","Resume Operation After ICE-Dected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9618","Clinician","ICE-initiated Audible Alarm Inactivation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9619","Patient","Resume Infusion","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9620","Clinician","Flush Pump"," "
"UC9621","ICE app","Prime Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9622","Clinician","normal Operation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9623","Clinician or APP","Patient-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9624","Clinician","Clinician-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9625","Clinician","ICE-Dectected Hazard"," "
"UC9626","Patient","Resume Operation After ICE-Dected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9627","Clinician","ICE-initiated Audible Alarm Inactivation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9628","ICE app","Resume Infusion","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9629","Clinician","Flush Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9630","Clinician or APP","Prime Pump"," "
"UC9631","Clinician","normal Operation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9632","Clinician","Patient-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9633","Patient","Clinician-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9634","Clinician","ICE-Dectected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9635","ICE app","Resume Operation After ICE-Dected Hazard"," "
"UC9636","Clinician","ICE-initiated Audible Alarm Inactivation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9637","Clinician or APP","Resume Infusion","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9638","Clinician","Flush Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9639","Clinician","Prime Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9640","Patient","normal Operation"," "
"UC9641","Clinician","Patient-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9642","ICE app","Clinician-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9643","Clinician","ICE-Dectected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9644","Clinician or APP","Resume Operation After ICE-Dected Hazard","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9645","Clinician","ICE-initiated Audible Alarm Inactivation"," "
"UC9646","Clinician","Resume Infusion","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9647","Patient","Flush Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9648","Clinician","Prime Pump","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9649","ICE app","normal Operation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9650","Clinician","Patient-Requested Bolus"," "
"UC9651","Clinician or APP","Clinician-Requested Bolus","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9652","Clinician","ICE-Dectected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9653","Clinician","Resume Operation After ICE-Dected Hazard","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9654","Patient","ICE-initiated Audible Alarm Inactivation","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9655","Clinician","Resume Infusion"," "
"UC9656","ICE app","Flush Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9657","Clinician","Prime Pump","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9658","Clinician or APP","normal Operation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9659","Clinician","Patient-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9660","Clinician","Clinician-Requested Bolus"," "
"UC9661","Patient","ICE-Dectected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9662","Clinician","Resume Operation After ICE-Dected Hazard","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9663","ICE app","ICE-initiated Audible Alarm Inactivation","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9664","Clinician","Resume Infusion","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9665","Clinician or APP","Flush Pump"," "
"UC9666","Clinician","Prime Pump","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9667","Clinician","normal Operation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9668","Patient","Patient-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9669","Clinician","Clinician-Requested Bolus","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9670","ICE app","ICE-Dectected Hazard"," "
"UC9671","Clinician","Resume Operation After ICE-Dected Hazard","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9672","Clinician or APP","ICE-initiated Audible Alarm Inactivation","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9673","Clinician","Resume Infusion","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
"UC9674","Clinician","Flush Pump","The basal flow rate, F(basal) is prescribed by a physican and entred into the PCA pump by scanning the presription from the drug container label as it is loaded into the reservoir."
"UC9675","Patient","Prime Pump"," "
"UC9676","Clinician","normal Operation","The PCA pump shall measure drug flow within a tolerance of Fmdf tol = 0.1 ml/hr."
"UC9677","ICE app","Patient-Requested Bolus","""The PCA pump shall perform a power-on-self-test (POST) to assure system integrity aft"
"UC9678","Clinician","Clinician-Requested Bolus","The PCA pump must be electromagnetically compatible according to IEC 60601-1-2 (2001)"
